player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
643,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,66,0,0,0,0.0,0.0,0,0,0,0,23,18,0.0,0.0,1,0,0.0,1,0.0,0,1,4,0,1,0,0,2,2,2,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,66,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
644,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,24,0,0,1,0.05,0.02,0,0,0,0,19,12,0.0,0.0,0,0,0.0,2,0.0,0,0,1,0,1,0,0,1,0,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,66,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
494,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,25,0,0,1,0.04,0.0,0,1,0,1,8,3,0.0,0.0,1,0,0.0,1,0.0,0,0,1,0,1,0,1,1,3,1,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,65,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
486,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,10,0,0,0,0.0,0.0,0,0,0,0,8,5,0.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,80,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
695,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,13,0,0,0,0.0,0.0,0,0,0,1,9,6,0.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,77,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
500,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,25,0,0,0,0.0,0.0,0,0,0,0,8,0,0.0,1.0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,1,3,0,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,65,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
663,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,24,0,0,1,0.04,0.0,0,0,0,2,13,5,0.0,0.0,0,0,0.0,1,0.0,0,1,1,0,0,0,0,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,66,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
642,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,77,0,0,2,0.14,0.01,1,0,0,4,26,9,0.0,0.0,0,0,0.0,1,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.67,0,0,77,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
648,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,24,0,0,0,0.0,0.0,0,0,0,1,9,3,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,66,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
475,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,95,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
670,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.0,0,0,0,0,55,29,0.0,0.0,8,0,0.0,6,0.0,0,0,15,0,1,0,0,2,0,1,0.0,1,0.0,1,0,6,0,1.59,1.59,0,29,6,,2,0,0,0,0.0,0.0,0.0,0,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
694,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.05,0,0,0,0,72,43,0.0,1.0,4,0,0.0,0,0.0,0,3,2,0,7,5,0,3,1,3,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
668,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.12,0,0,0,1,67,42,0.0,1.0,11,1,0.0,5,0.0,0,2,6,0,7,5,0,8,2,2,0.0,6,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
532,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.04,0,0,0,0,70,29,0.0,2.0,13,1,0.0,0,0.0,0,1,2,0,4,3,0,7,2,3,0.0,4,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
