id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
90,a,,,5.0,293,179,0,0,0,0,0.3,325,111,19,3,3.8,103,39,2,78,5.0,46,16,1.0,3.8,0,25269,4621,8728,1529,5.5,4.5,0.22,0.2,0.42,2.94,0.06,0.05,0.11,0.81,76.8,109,36,67.7,67,49,22.0,179,105,16.6,97,52,,5.0,,6,,Alex,Scott,Scott,,,328,1,0,3,3,0,0,0,1,0,0,5,36,,,,0.0,0.82,0.82,1.37,9.88
91,u,0.0,0.0,5.0,267,162,0,0,0,0,0.0,672,285,0,0,0.0,687,293,0,0,0.0,678,288,0.0,0.0,0,396,0,3348,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684,291,0.0,685,293,0.0,668,288,0.0,685,292,,,,6,,Luis,Sinisterra Lucumí,Sinisterra,Has joined Cruzeiro on loan for the rest of the season.,2025-08-26T13:43:19.913048+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
92,u,0.0,0.0,4.5,429,250,0,0,0,0,0.1,462,154,0,0,0.0,595,228,0,0,0.0,582,219,0.0,0.0,0,3740,0,13049,638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589,221,0.0,580,223,0.0,554,213,0.0,591,222,,,,6,,Romain,Faivre,Faivre,has joined Al Taawoun permanently.,2025-09-11T13:43:59.477111+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
93,u,0.0,0.0,4.5,424,247,0,0,0,0,0.7,212,73,4,0,4.0,85,30,0,12,0.0,579,216,0.0,0.9,0,114900,0,119702,6094,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.25,21.2,284,129,10.0,283,160,0.0,551,210,3.1,336,164,,,,6,,Hamed,Traorè,H.Traorè,has joined Marseille on loan for the rest of the season.,2025-09-02T12:54:34.582455+00:00,16,0,1,0,2,0,0,0,0,0,0,0,4,,,,0.0,0.0,11.25,0.0,22.5
94,a,,,4.5,470,276,0,0,0,0,0.1,528,187,0,0,0.0,622,252,0,0,0.0,609,243,0.0,0.0,0,3850,524,3759,367,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,245,0.0,609,247,0.0,584,237,0.0,617,246,,,,6,,Dominic,Sadi,Sadi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
95,a,,,4.4,576,317,0,0,-1,1,0.2,386,130,0,0,0.0,559,210,0,0,0.0,544,200,0.0,0.0,0,15072,3677,7549,1313,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553,203,0.0,539,205,0.0,509,194,0.0,555,204,,,,6,,Zain,Silcott-Duberry,Silcott-Duberry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
96,u,0.0,0.0,4.5,500,294,0,0,0,0,0.1,558,207,1,0,1.0,342,157,0,3,0.0,635,260,0.0,0.2,0,2964,0,7035,363,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,4.65,0.0,641,262,0.0,635,264,0.0,609,254,0.0,642,263,,,,6,,Ben,Winterburn,Winterburn,has joined Barnet on loan for the rest of the season.,2025-09-02T12:54:34.5994+00:00,6,0,0,0,2,0,0,0,0,0,0,0,0,,,,0.0,0.0,30.0,0.0,0.0
97,a,,,7.0,40,16,0,0,0,0,3.1,102,15,18,2,3.6,118,12,2,74,5.0,47,8,0.7,2.6,0,331452,28301,216401,20380,5.5,4.5,1.03,0.14,1.17,3.5,0.21,0.03,0.24,0.72,55.0,151,13,81.6,48,3,133.0,9,5,26.8,25,6,,,2.0,6,,Francisco Evanilson,de Lima Barbosa,Evanilson,,,437,1,1,3,5,0,0,0,1,0,0,5,23,,,,0.0,0.62,1.03,1.03,4.74
98,i,0.0,0.0,5.5,140,33,0,0,0,0,0.0,689,81,0,0,0.0,719,75,0,0,0.0,714,73,0.0,0.0,0,392,19,890,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717,75,0.0,718,75,0.0,715,74,0.0,718,75,,2.0,,6,,Enes,Ünal,Enes Ünal,Knee injury - Unknown return date,2025-07-21T10:00:04.802496+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
99,a,,,4.4,591,78,0,0,-1,1,0.3,295,50,0,0,0.0,572,57,0,0,0.0,557,55,0.0,0.0,0,22004,2328,22169,1618,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,55,0.0,552,55,0.0,523,53,0.0,568,56,,,,6,,Daniel,Adu-Adjei,Adu-Adjei,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
100,a,,,4.5,477,61,0,0,0,0,1.5,155,24,3,0,1.0,341,32,0,8,0.3,352,34,0.1,0.7,0,156969,10302,112420,9128,0.8,-0.2,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.8,0.0,620,60,0.0,614,60,2.0,323,40,0.2,397,42,,,,6,,Eli Junior,Kroupi,Kroupi.Jr,,,12,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,7.5,0.0,7.5
391,a,,,5.0,290,176,0,0,0,0,0.0,578,222,0,0,0.0,697,301,0,0,0.0,688,296,0.0,0.0,0,3410,43,4208,254,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694,299,0.0,695,301,0.0,679,296,0.0,695,300,,,,6,,Ben,Gannon-Doak,Gannon-Doak,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
685,a,100.0,75.0,4.5,422,91,0,0,0,0,0.4,262,96,21,5,5.2,39,18,2,83,3.7,84,35,0.8,4.7,1,55223,2062,32889,1867,4.2,2.4,0.0,0.04,0.04,3.0,0.0,0.01,0.01,0.75,71.0,120,54,23.8,187,51,6.0,283,93,10.1,187,63,,,,6,,Bafodé,Diakité,Diakité,,2025-09-13T21:30:08.47299+00:00,360,0,0,3,4,0,0,0,1,0,0,4,33,,,,0.0,0.75,1.0,1.0,8.25
687,a,,,4.5,499,293,0,0,0,0,0.1,459,153,0,0,0.0,647,268,0,0,0.0,634,259,0.0,0.0,0,6092,85,6633,290,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640,261,0.0,634,263,0.0,608,253,0.0,641,262,,,,6,,Remy,Rees-Dottin,Rees-Dottin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
697,a,,,5.5,164,101,0,0,0,0,0.0,626,258,4,1,1.0,379,183,0,25,1.0,279,138,0.2,0.7,0,3040,147,1964,217,1.5,0.5,0.04,0.03,0.07,0.29,0.04,0.03,0.07,0.3,32.0,236,108,27.1,170,113,9.0,260,141,6.8,255,129,,,,6,,Amine,Adli,Adli,,,88,0,0,0,0,0,0,0,0,0,0,0,24,,,,0.0,0.0,0.0,0.0,24.55
713,a,,,4.5,473,107,0,0,0,0,0.0,687,231,0,0,0.0,624,230,0,4,0.0,611,228,0.0,0.0,0,994,195,335,63,0.5,-0.5,0.05,0.01,0.06,0.14,0.09,0.02,0.11,0.26,4.4,364,134,1.9,342,122,9.0,257,83,1.5,364,128,,,,6,,Álex,Jiménez Sánchez,A.Jimenez,,,48,0,0,0,0,0,0,0,2,0,0,1,5,,,,0.0,0.0,0.0,1.88,9.38
721,a,,,4.5,506,112,0,0,0,0,0.0,625,214,4,0,4.0,87,40,0,15,2.0,184,74,0.4,0.9,0,3277,324,619,266,2.5,1.5,0.0,0.18,0.18,0.62,0.0,0.18,0.18,0.62,23.4,276,108,11.3,271,91,6.0,285,95,4.1,309,106,,,,6,,Veljko,Milosavljevic,Milosavljević,,,90,0,0,0,1,0,0,0,0,0,0,1,11,,,,0.0,0.0,1.0,1.0,11.0
