player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
684,25-26-champions-league-benfica-vs-newcastle-united,90,0,0,0,0.0,0.01,0,0,0,2,63,55,0.0,0.0,4,0,0.0,3,0.0,0,0,5,0,4,2,0,2,3,0,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,25-26-champions-league-benfica-vs-newcastle-united,90,0,0,1,0.04,0.01,1,0,0,1,75,60,0.0,0.0,3,0,0.0,2,0.0,0,0,6,1,4,2,0,4,6,2,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.31,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,25-26-champions-league-benfica-vs-newcastle-united,27,0,0,1,0.07,0.0,1,1,0,1,17,9,0.0,0.0,0,0,0.0,0,0.0,0,2,2,0,1,1,1,4,3,2,0.0,2,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.24,1,63,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,25-26-champions-league-benfica-vs-newcastle-united,63,0,0,0,0.0,0.1,0,0,0,1,32,18,0.0,1.0,2,0,0.0,1,0.0,0,2,2,0,0,0,0,3,4,3,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,25-26-champions-league-benfica-vs-newcastle-united,85,0,0,1,0.06,0.03,0,0,0,1,21,14,0.0,3.0,3,0,0.0,2,0.0,0,0,1,1,0,0,1,0,5,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,25-26-champions-league-benfica-vs-newcastle-united,1,0,0,1,0.46,0.01,0,0,1,1,2,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,90,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,25-26-champions-league-benfica-vs-newcastle-united,5,0,0,0,0.0,0.05,0,0,0,1,6,2,0.0,1.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,85,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,25-26-champions-league-benfica-vs-newcastle-united,5,0,0,0,0.0,0.01,0,0,0,0,1,1,0.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,85,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,25-26-champions-league-manchester-city-vs-villarreal,86,0,1,1,0.07,0.77,1,5,1,9,59,37,0.0,4.0,1,0,0.0,1,0.0,0,0,6,0,0,0,0,6,2,6,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.13,1,0,86,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,25-26-champions-league-manchester-city-vs-villarreal,90,1,0,1,0.3,0.19,1,0,0,2,84,61,0.0,1.0,3,2,0.0,2,0.0,0,0,6,0,3,1,0,2,1,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.73,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
