id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
176,u,0.0,0.0,4.5,449,270.0,0,0.0,0,0.0,0.0,647,267.0,0,0,0.0,654.0,267.0,0,0,0.0,602.0,238.0,0.0,0.0,0.0,1435,0,4085,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,263.0,0.0,639.0,262.0,0.0,621.0,256.0,0.0,648.0,263.0,,,,10,,Adrian,Mazilu,Mazilu,has joined Dinamo Bucharest permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
177,u,0.0,0.0,4.5,441,263.0,0,0.0,0,0.0,0.0,661,277.0,0,0,0.0,648.0,261.0,0,0,0.0,596.0,232.0,0.0,0.0,0.0,490,0,4777,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,257.0,0.0,633.0,256.0,0.0,615.0,250.0,0.0,642.0,257.0,,,,10,,Andrew,Moran,Moran,Has joined Los Angeles FC on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
178,a,,,6.5,55,17.0,0,0.0,0,0.0,9.2,42,8.0,43,6,4.1,75.0,7.0,6,191,4.7,61.0,5.0,0.7,6.9,0.0,1136130,74083,554624,35997,4.7,4.7,4.15,0.49,4.64,8.69,0.53,0.07,0.6,1.18,221.2,56.0,5.0,110.9,86.0,4.0,186.0,32.0,13.0,51.5,36.0,7.0,,1.0,1.0,10,,Danny,Welbeck,Welbeck,,,625,6,0,1,13,0,0,1,2,0,0,7,23,,,,0.0,0.25,1.65,1.02,3.68,5,5,13
179,u,0.0,0.0,5.5,149,36.0,0,0.0,0,0.0,0.0,706,83.0,0,0,0.0,738.0,78.0,0,0,0.0,723.0,73.0,0.0,0.0,0.0,0,0,1519,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,78.0,0.0,737.0,78.0,0.0,735.0,78.0,0.0,738.0,78.0,,,,10,,Evan,Ferguson,Ferguson,Has joined AS Roma on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
180,a,,,5.3,210,45.0,0,0.0,-2,2.0,0.1,454,64.0,9,1,1.4,345.0,35.0,0,26,1.0,264.0,31.0,0.2,1.9,0.0,10869,309,16475,395,1.0,1.0,0.35,0.11,0.46,2.08,0.38,0.12,0.5,2.4,28.4,343.0,31.0,61.2,179.0,18.0,23.0,264.0,40.0,11.3,301.0,31.0,,,,10,,Stefanos,Tzimas,Tzimas,,,79,0,1,0,2,0,0,0,0,0,0,0,8,,,,0.0,0.0,2.14,0.0,9.64,2,1,5
181,a,,,4.8,376,59.0,0,0.0,-2,2.0,0.3,297,47.0,7,1,2.0,276.0,28.0,0,35,2.3,163.0,18.0,0.5,1.7,0.0,27062,1260,46335,1099,2.3,2.3,0.27,0.01,0.28,0.51,0.84,0.03,0.87,2.45,35.2,323.0,30.0,0.6,395.0,46.0,40.0,213.0,38.0,7.6,336.0,38.0,,,,10,,Charalampos,Kostoulas,Kostoulas,,,14,1,0,0,1,0,0,0,0,0,0,0,2,,,,0.0,0.0,3.1,0.0,21.72,0,0,2
744,a,,,4.5,454,273.0,0,0.0,0,0.0,0.0,714,310.0,1,1,1.0,386.0,177.0,0,3,0.3,332.0,158.0,0.1,0.2,0.0,835,122,263,49,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,266.0,0.0,643.0,265.0,0.0,625.0,259.0,0.0,652.0,266.0,,,,10,,Nehemiah,Oriola,Oriola,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
168,a,100.0,100.0,4.7,385,241.0,0,0.0,-3,3.0,0.1,482,167.0,1,0,1.0,394.0,183.0,0,4,0.0,634.0,261.0,0.0,0.2,0.0,8078,128,21737,268,0.0,0.0,0.0,0.09,0.09,0.55,0.0,0.18,0.18,1.1,5.6,409.0,191.0,25.1,284.0,164.0,8.0,326.0,171.0,3.9,381.0,180.0,,,,10,,Facundo,Buonanotte,Buonanotte,,,45,0,0,0,1,0,0,0,0,0,0,1,3,,,,0.0,0.0,2.0,2.0,6.0,1,0,2
220,a,,,4.8,355,15.0,0,0.0,-2,2.0,13.7,29,3.0,31,6,3.4,126.0,13.0,1,124,4.3,65.0,5.0,0.9,7.7,0.0,668637,23830,1852812,16444,4.3,4.3,0.0,0.01,0.01,11.88,0.0,0.0,0.0,1.2,153.2,122.0,16.0,20.0,305.0,2.0,0.0,661.0,72.0,17.2,244.0,15.0,,,,10,,Robert,Lynch Sánchez,Sánchez,,,814,0,0,4,11,0,0,0,1,1,18,10,76,,,,1.79,0.5,1.1,1.1,0.0,0,6,83
221,a,,,4.3,593,36.0,-1,1.0,-2,2.0,0.2,382,57.0,1,0,1.0,379.0,28.0,0,4,0.0,507.0,74.0,0.0,0.2,0.0,9957,154,18920,479,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,1.92,9.4,393.0,28.0,0.0,555.0,69.0,0.0,526.0,57.0,0.9,419.0,28.0,,,,10,,Filip,Jörgensen,Jörgensen,,,84,0,0,0,2,0,0,0,0,0,1,0,7,,,,1.07,0.0,2.14,0.0,0.0,0,2,5
222,u,0.0,0.0,4.0,670,65.0,0,0.0,0,0.0,0.0,737,83.0,0,0,0.0,540.0,70.0,0,0,0.0,466.0,63.0,0.0,0.0,0.0,0,0,303,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,71.0,0.0,518.0,57.0,0.0,486.0,44.0,0.0,534.0,71.0,,,,10,,Mike,Penders,Penders,Has joined RC Strasbourg on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
