id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
248,Kendry,Páez Andrade,Paez,u,Has joined RC Strasbourg on loan for the rest of the season.,2025-08-11T01:09:37.664358+00:00,4.5,557,304,0.0,662,290,0.0,518,198,0,0,0,0,0,0,299,0.0,0.0,0.0,0.0,0.0,518,198,0.0,0.0,505,187,509,196,473,172,520,195,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
249,João Pedro,Junqueira de Jesus,João Pedro,a,,,7.5,28,12,54.1,3,1,2.0,160,13,2,0,0,0,0,74026,197514,0.3,0.3,2.9,2.9,2.0,160,13,0.0,0.0,688,72,123,11,57,16,166,17,0.0,0.0,0.0,,,,,0.38,0.02,0.4,1.28,0.0,1.25,0.0,1.25,1.25,1,2,72,0,0,1,0,0,0,0,0,0,0,1,0,3,74026,197514,0,0.3,0.02,0.32,1.02,0.0,4.1,16.0,1.8,0,0,1,1
250,Liam,Delap,Delap,a,,,6.5,69,21,3.9,83,17,1.0,239,22,1,0,0,0,0,9331,34708,0.2,0.2,2.7,2.7,1.0,239,22,0.0,0.0,176,13,172,15,46,13,127,16,0.0,0.0,0.0,,,,,0.26,0.05,0.31,0.26,0.0,0.0,0.0,0.0,10.59,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,4,9331,34708,0,0.05,0.01,0.06,0.05,5.4,1.3,19.0,2.6,0,1,1,2
251,Nicolas,Jackson,N.Jackson,a,,2025-07-21T10:00:04.843234+00:00,6.5,77,23,0.1,462,65,0.0,682,72,0,0,0,0,0,1346,739,0.0,0.0,2.7,0.0,0.0,682,72,100.0,0.0,680,69,684,72,684,72,684,72,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
252,Marc,Guiu Paz,Marc Guiu,a,,2025-08-11T10:30:07.368326+00:00,4.5,486,58,20.1,19,5,0.0,455,33,0,0,0,0,0,51744,57508,0.0,0.0,1.0,0.5,0.0,455,33,100.0,100.0,442,25,446,29,407,31,457,31,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51744,57508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
253,Dean,Henderson,Henderson,a,,,5.0,243,10,7.2,59,9,6.0,44,8,6,0,0,0,0,20003,13791,1.2,1.2,3.1,2.6,6.0,44,8,0.0,0.0,57,10,105,1,503,71,96,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.81,2.0,1.0,0.0,1.0,0.0,1,6,90,0,0,1,0,0,0,0,0,0,2,1,0,27,20003,13791,0,0.0,0.0,0.0,1.81,22.2,10.0,0.0,3.2,0,2,5,0
254,Walter,Benítez,Benitez,a,,,4.0,583,48,0.4,266,38,0.0,269,29,0,0,0,0,0,1064,1080,0.0,0.0,1.0,0.5,0.0,269,29,0.0,0.0,261,30,257,14,197,13,277,30,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1080,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
255,Remi,Matthews,Matthews,a,,,4.0,590,52,0.1,484,71,0.0,276,33,0,0,0,0,0,220,285,0.0,0.0,1.0,0.5,0.0,276,33,0.0,0.0,268,34,264,18,204,17,284,34,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
257,Maxence,Lacroix,Lacroix,a,,,5.0,298,51,1.2,165,63,8.0,25,12,8,0,0,0,0,12341,4518,1.6,1.6,2.6,2.1,8.0,25,12,0.0,0.0,41,13,236,89,119,31,97,28,0.0,0.0,0.0,,,,,0.4,0.0,0.4,1.81,0.0,1.0,0.0,1.0,15.0,1,8,90,0,0,1,0,0,0,0,0,0,0,1,0,21,12341,4518,0,0.4,0.0,0.4,1.81,28.0,0.1,4.0,3.2,3,13,2,15
258,Tyrick,Mitchell,Mitchell,a,,,5.0,284,48,1.4,156,56,9.0,17,6,9,0,0,0,0,14597,3919,1.8,1.8,2.6,2.1,9.0,17,6,0.0,0.0,35,11,216,80,532,202,110,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.81,0.0,1.0,0.0,1.0,13.0,1,9,90,0,0,1,0,0,0,0,0,0,0,1,1,32,14597,3919,0,0.0,0.0,0.0,1.81,29.0,0.4,0.0,2.9,5,6,5,13
