id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
135,i,0.0,0.0,7.4,26,10,0,0,-1,1,0.7,214,36,0,0,0.0,739,82,0,0,0.0,738,82,0.0,0.0,0,84634,34,290895,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740,82,0.0,740,82,0.0,740,82,0.0,740,82,,,1.0,6,,Yoane,Wissa,Wissa,Knee injury - Expected back 18 Oct,2025-09-12T10:00:06.619832+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
474,d,25.0,25.0,5.5,139,16,0,0,0,0,2.1,128,49,23,0,5.8,22,11,0,82,3.5,81,33,0.6,4.2,0,144079,38,228278,4510,1.0,0.9,0.08,0.07,0.15,1.72,0.02,0.02,0.04,0.44,80.0,107,48,25.0,183,50,15.0,220,61,12.1,155,53,,2.0,4.0,6,,Fabian,Schär,Schär,Head injury - 25% chance of playing,2025-09-19T11:30:08.392759+00:00,350,0,0,3,2,0,0,0,0,0,0,4,35,,,,0.0,0.77,0.51,1.03,9.0
257,a,,,5.1,237,35,0,0,1,-1,4.0,89,35,34,4,5.7,26,14,2,127,5.8,13,6,1.1,6.7,1,479838,6971,192939,2538,5.8,4.8,0.3,0.15,0.45,6.82,0.05,0.02,0.07,1.14,118.8,38,14,15.6,241,78,34.0,128,23,16.8,95,30,,,,6,,Maxence,Lacroix,Lacroix,,,540,0,1,3,3,0,0,0,1,0,0,6,62,,,,0.0,0.5,0.5,1.0,10.33
259,a,,,4.9,328,54,0,0,-1,1,0.1,448,170,0,0,0.0,670,236,0,0,0.0,656,234,0.0,0.0,0,3547,72,8518,91,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665,237,0.0,659,237,0.0,638,229,0.0,666,237,4.0,,,6,,Borna,Sosa,Sosa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
605,a,,,4.4,526,128,0,0,-1,1,0.2,381,140,9,0,1.8,260,93,0,20,2.2,140,55,0.5,2.0,0,6168,42,20085,98,1.7,2.2,0.39,0.03,0.42,7.75,0.08,0.01,0.09,1.55,99.8,63,26,18.1,226,70,14.0,223,62,13.1,141,47,,,,6,,Maximilian,Kilman,Kilman,,,450,0,0,1,13,0,0,0,2,0,0,5,42,,,,0.0,0.2,2.6,1.0,8.4
606,a,,,4.4,537,135,0,0,-1,1,0.1,540,195,12,0,4.0,78,34,0,37,3.0,95,37,0.7,2.7,0,3231,63,3720,40,2.5,3.0,0.28,0.03,0.31,4.33,0.09,0.01,0.1,1.44,68.6,124,56,1.6,347,124,39.0,108,16,10.9,170,58,,,,6,,Konstantinos,Mavropanos,Mavropanos,,,270,0,0,1,5,0,0,0,0,0,0,3,28,,,,0.0,0.33,1.67,1.0,9.33
607,u,0.0,0.0,4.4,525,127,0,0,-1,1,0.1,552,200,3,0,1.5,288,100,0,-1,0.0,514,212,0.0,0.7,0,1288,0,10524,72,0.0,0.0,0.1,0.03,0.13,3.42,0.05,0.02,0.07,1.71,39.0,207,83,3.9,322,111,8.0,263,86,5.1,290,96,,,,6,,Nayef,Aguerd,N.Aguerd,has joined Marseille permanently.,2025-09-02T12:20:05.254985+00:00,180,0,0,0,8,0,0,0,0,0,0,2,15,,,,0.0,0.0,4.0,1.0,7.5
66,u,0.0,0.0,4.5,390,20,0,0,0,0,0.1,485,77,0,0,0.0,590,81,0,0,0.0,568,80,0.0,0.0,0,0,0,12812,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,81,0.0,567,66,0.0,538,59,0.0,583,81,,,,6,,Norberto,Murara Neto,Neto,Has joined Botafogo permanently.,2025-08-11T01:25:12.553868+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
82,a,,,7.7,20,13,0,0,7,-7,51.8,2,1,48,7,8.0,2,1,6,127,6.8,6,1,0.9,6.2,2,5444923,77063,482851,2789,6.8,7.3,2.99,0.31,3.3,5.46,0.5,0.05,0.55,0.91,170.2,4,2,99.3,32,27,140.0,7,4,41.0,4,3,,,3.0,6,,Antoine,Semenyo,Semenyo,,,540,4,2,3,7,0,0,0,1,0,0,6,49,,,,0.0,0.5,1.17,1.0,8.17
86,a,,,5.0,248,151,0,0,0,0,0.4,270,94,16,1,2.7,183,78,1,71,2.2,150,62,0.4,3.2,0,53336,252,30824,667,2.2,2.7,0.88,1.3,2.18,3.51,0.21,0.32,0.53,0.85,57.8,144,54,107.3,24,21,82.0,34,19,24.3,42,27,5.0,,,6,,David,Brooks,Brooks,,,370,0,1,3,3,0,0,0,2,0,0,5,31,,,,0.0,0.73,0.73,1.22,7.54
